CASE_ID|CATEGORY|TITLE|TABLES|COLUMNS|DESCRIPTION|SQL_HINT|LEARNED_FROM
SC001|Security|Access control model at WCC|GURACLS,GURUCLS,GURUOBJ,GTVCLAS,GURAOBJ,GUVUACC|guracls_userid,guracls_class_code,guruobj_userid,guruobj_object,guruobj_role|Banner access is layered. A user gets access by (1) being assigned to a CLASS in GURACLS — classes bundle object grants, (2) being granted a specific OBJECT directly in GURUOBJ — bypasses class (exception grants), or (3) legacy GURUCLS assignments (pre-9.x). WCC has BOTH GURACLS (19K active) AND GURUCLS (7.5K) populated, so any complete report must UNION both. The GUVUACC view pre-joins the effective picture (415K rows of effective access).|For effective-access questions, start with GUVUACC. For audit/history, use GURACLS+GURACLS_AUDIT_TIME. Filter GURACLS_AUDIT_ACTION<>'D' to exclude deletions.|BANSECR health check, Apr 2026
SC002|Security|GURUOBJ role suffix interpretation|GURUOBJ|guruobj_role|The LAST CHARACTER of guruobj_role usually indicates access level: Q=Query (read-only), M=Maintenance (read/write), B=Both, U=Update-only. At WCC the distribution is M=76%, Q=24%. BUT there are custom Banner roles where the last char is NOT the suffix: BAN_DEFAULT_NO_ACCESS (S), BAN_DEFAULT_CONNECT (T), BAN_DEFAULT_CMQUERYEXECUTE_HR (R). So SUBSTR(guruobj_role,-1) is a 99.97%-correct shortcut but fails on custom roles.|Don't blindly SUBSTR(role,-1). Check if role LIKE 'BAN\_%\_Q' ESCAPE '\' OR role LIKE '%\_M' ESCAPE '\' before assuming suffix semantics.|WCC guruobj probe, Apr 2026 — 3 anomalies in 12,096 rows
SC003|Security|GOBEACC at WCC is minimalist and lives in GENERAL|GOBEACC,GURLOGN|gobeacc_pidm,gobeacc_username,gurlogn_last_logon_date|Two facts about WCC's GOBEACC that surprise everyone: (1) it's in the GENERAL schema, NOT in BANSECR — use general.gobeacc or the unqualified synonym gobeacc. (2) WCC's GOBEACC has only 8 columns (username, pidm, activity_date, data_origin, surrogate_id, user_id, version, vpdi_code). It does NOT have gobeacc_disable, gobeacc_expiration_date, or gobeacc_last_login_date that some Banner docs reference. At WCC, account 'active' status must be derived from elsewhere: GURLOGN (last_logon_date / inb_last_logon_date / hrzn_last_logon_date) for login history, and GURACLS / GUVUACC for class or object access.|JOIN general.gobeacc ga ON ga.gobeacc_username = guracls_userid. For activity status, also JOIN bansecr.gurlogn gl ON gl.gurlogn_user = ga.gobeacc_username.|WCC schema probe, Apr 2026
SC004|Security|Dormant accounts — use GURLOGN, not GOBEACC|GURLOGN,GOBEACC,PEBEMPL|gurlogn_user,gurlogn_last_logon_date,gurlogn_inb_last_logon_date,gurlogn_hrzn_last_logon_date|At WCC, 'dormant' must be measured from GURLOGN (the login log) because GOBEACC doesn't carry status. An account is dormant if ALL three logon timestamps are NULL or older than N days: gurlogn_last_logon_date (Oracle), gurlogn_inb_last_logon_date (Banner INB), gurlogn_hrzn_last_logon_date (Web/Horizon). Note: these columns only populate when the GT_GURALGN_AUDIT_LOGON trigger is active — confirmed enabled at WCC (GURALGN has 86M rows). See report SR001 for the canonical query.|LEFT JOIN bansecr.gurlogn gl ON gl.gurlogn_user=ga.gobeacc_username, then WHERE gl.gurlogn_last_logon_date IS NULL OR < SYSDATE-180|WCC GURLOGN schema, Apr 2026
SC005|Security|Terminated employees with live Banner access|GOBEACC,PEBEMPL,GUVUACC|peempl_term_date,gobeacc_disable,gobeacc_expiration_date|The dangerous pattern: PEBEMPL_TERM_DATE < SYSDATE (terminated) AND GOBEACC_DISABLE <> 'Y' AND account has active CLASS/OBJECT grants via GUVUACC. This is the #1 finding auditors look for. Don't forget grace-period logic — some institutions allow 7-30 days post-term for close-out; verify WCC policy.|JOIN PEBEMPL to GOBEACC via pidm, find non-null TERM_DATE, then verify access still exists via GUVUACC row count.|SOX/FERPA access-review standard
SC006|Security|MEP / VPD / FGAC NOT installed at WCC|GURUSRI,GTVVPDI,GORFGAC|gurusri_userid,gtvvpdi_vpdi_code|Confirmed at WCC via health check: GURUSRI=0, GTVVPDI=0, GORFGAC does not exist. This means (a) no Multi-Entity Processing — one institution's data only, (b) no Value-Based Security / Fine-Grained Access Control — no invisible VPD row filters, (c) queries return the full row set the user has direct access to. Simplifies all security reports and removes a whole class of false negatives.|No need to call setmepcontext or worry about VPD policies. Queries are straightforward.|BANSECR health check, Apr 2026
SC007|Security|Security violation monitoring via GURALOG|GURALOG|guralog_activity_date,guralog_userid,guralog_object,guralog_violation_type|GURALOG logs Banner security violations (unauthorized access attempts, invalid logins, denied operations). At WCC: 233K total, 780 in the last 30 days (~26/day). This is active signal worth monitoring. Group by userid for repeat offenders, by object for frequently-targeted forms, by violation_type for pattern detection. Recent spikes are the investigation priority.|Always filter guralog_activity_date >= SYSDATE-N to avoid full-table scans. Good dashboard candidate.|GURALOG count at WCC: 233,387
SC008|Security|GURALGN is huge — always filter by date|GURALGN|guralgn_login_date,guralgn_userid|GURALGN (login activity for GURUCLS users) has 86 MILLION rows at WCC. Never SELECT * or unfiltered aggregates. Always bound by date: WHERE guralgn_login_date >= SYSDATE-N. For 'last login per user' analytics, an index-assisted MAX(login_date) GROUP BY userid query is acceptable; anything touching the full table without filter will timeout.|WHERE guralgn_login_date >= TRUNC(SYSDATE)-30 is a sane default for dashboards.|WCC row count: 86,060,085
SC009|Security|CLASS membership — the canonical query pattern|GURACLS,GTVCLAS,GOBEACC,SPRIDEN|guracls_userid,guracls_class_code,guracls_audit_time,guracls_audit_action|To list 'who belongs to which CLASS today' you MUST: (1) filter the audit row for each (userid, class_code) to the MAX(audit_time) — otherwise you double-count every change over time, (2) filter out audit_action='D' to exclude deletions. The audit_time + audit_action pattern is the single biggest source of bad security reports.|Subquery pattern: WHERE guracls_audit_time = (SELECT MAX(audit_time) FROM guracls g2 WHERE g2.userid=g.userid AND g2.class_code=g.class_code) AND audit_action<>'D'|Banner General Security Admin Handbook
SC010|Security|Direct OBJECT grants that bypass CLASS|GURUOBJ,GURAOBJ|guruobj_userid,guruobj_object,guruobj_role|GURUOBJ contains direct user-to-object grants (12,096 rows at WCC). These BYPASS the class-based model — a user can have access to an object without being in any class that contains it. Auditors flag these because they defeat role-based-access-control. Report: users with >N direct grants, or direct grants to high-sensitivity objects.|SELECT guruobj_userid, COUNT(*) FROM guruobj GROUP BY guruobj_userid HAVING COUNT(*) > threshold — finds over-privileged exceptions.|SOX least-privilege review pattern
